datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI,PPO_HLC3_EMA9,PPO_EMA9_EMA21,PPO_RSI_EMARSI,ROC_HLC3,ROC_EMA9,ROC_EMA21,ROC_RSI,ROC_EMARSI
2024-09-27 09:24:00+05:30,26237.7,26238.55,26224.55,26229.3,26230.8,26168.51,1,26146.03,1,26218.77,26199.85,62.46,63.52,4.59,7.22,-166.88,-1.1,1.15,1.18,-501.82,-25.13
2024-09-27 09:27:00+05:30,26228.8,26239.7,26226.3,26230.6,26232.2,26171.26,1,26150.68,1,26221.46,26202.79,62.77,63.42,4.1,7.13,-102.49,0.53,1.03,1.12,49.63,-15.74
2024-09-27 09:30:00+05:30,26230.75,26232.5,26218.7,26229.4,26226.87,26171.26,1,26150.68,1,26222.54,26204.98,62.26,63.26,1.65,6.7,-158.08,-2.03,0.41,0.84,-81.25,-25.23
2024-09-27 09:33:00+05:30,26229.2,26243.15,26229.2,26235.7,26236.02,26178.25,1,26158.94,1,26225.24,26207.8,63.92,63.35,4.11,6.65,89.98,3.49,1.03,1.08,266.62,14.23
2024-09-27 09:36:00+05:30,26235.1,26238.5,26230.9,26230.9,26233.43,26180.29,1,26162.15,1,26226.87,26210.13,61.69,63.13,2.5,6.39,-228.1,-0.99,0.62,0.89,-348.87,-34.73
2024-09-27 09:39:00+05:30,26231.1,26245.05,26226.3,26243.95,26238.43,26181.08,1,26162.88,1,26229.19,26212.7,65.24,63.41,3.52,6.29,288.6,1.91,0.88,0.98,575.46,44.35
2024-09-27 09:42:00+05:30,26243.8,26244.75,26234.4,26240.85,26240.0,26187.33,1,26169.92,1,26231.35,26215.19,63.73,63.45,3.3,6.16,44.13,0.6,0.82,0.95,-231.45,6.31
2024-09-27 09:45:00+05:30,26240.65,26263.05,26238.5,26261.8,26254.45,26196.39,1,26178.27,1,26235.97,26218.76,68.95,64.19,7.04,6.56,741.55,5.51,1.76,1.36,819.08,116.63
2024-09-27 09:48:00+05:30,26262.1,26271.85,26258.55,26267.35,26265.92,26212.27,1,26194.62,1,26241.96,26223.04,70.18,64.99,9.13,7.22,798.58,4.37,2.28,1.63,178.39,124.63
2024-09-27 09:51:00+05:30,26267.7,26270.25,26262.2,26268.95,26267.13,26216.17,1,26199.49,1,26246.99,26227.05,70.54,65.73,7.67,7.6,731.78,0.46,1.92,1.53,51.3,113.86
2024-09-27 09:54:00+05:30,26269.25,26269.9,26256.4,26260.9,26262.4,26216.17,1,26199.49,1,26250.07,26230.26,66.2,65.79,4.7,7.55,62.32,-1.8,1.17,1.22,-615.25,9.13
2024-09-27 09:57:00+05:30,26261.65,26268.0,26259.3,26260.75,26262.68,26216.85,1,26201.25,1,26252.6,26233.21,66.12,65.83,3.84,7.39,44.05,0.11,0.96,1.12,-12.08,6.08
2024-09-27 10:00:00+05:30,26260.95,26264.75,26253.8,26258.7,26259.08,26216.85,1,26201.25,1,26253.89,26235.56,64.94,65.71,1.98,6.99,-117.18,-1.37,0.49,0.9,-178.46,-18.23
2024-09-27 10:03:00+05:30,26258.65,26259.15,26247.65,26248.9,26251.9,26216.85,1,26201.25,1,26253.49,26237.05,59.48,64.88,-0.61,6.27,-832.31,-2.73,-0.15,0.57,-840.78,-126.31
2024-09-27 10:06:00+05:30,26249.85,26266.3,26245.2,26264.2,26258.57,26216.85,1,26201.25,1,26254.51,26239.0,64.5,64.83,1.55,5.91,-50.9,2.54,0.39,0.74,843.98,-7.71
2024-09-27 10:09:00+05:30,26264.25,26267.3,26258.85,26260.45,26262.2,26218.95,1,26204.24,1,26256.05,26241.11,62.45,64.51,2.34,5.69,-319.33,1.38,0.59,0.8,-317.83,-49.36
2024-09-27 10:12:00+05:30,26260.7,26266.45,26259.3,26262.25,26262.67,26221.02,1,26207.06,1,26257.37,26243.07,63.06,64.32,2.02,5.45,-195.9,0.18,0.5,0.75,97.68,-29.45
2024-09-27 10:15:00+05:30,26262.2,26266.2,26259.85,26263.8,26263.28,26223.45,1,26210.25,1,26258.55,26244.91,63.6,64.22,1.8,5.2,-96.54,0.23,0.45,0.7,85.63,-15.55
2024-09-27 10:18:00+05:30,26262.15,26265.95,26258.7,26259.15,26261.27,26224.53,1,26211.93,1,26259.1,26246.4,60.72,63.76,0.83,4.84,-476.79,-0.77,0.21,0.57,-452.83,-71.63
2024-09-27 10:21:00+05:30,26259.25,26262.1,26255.85,26261.75,26259.9,26224.53,1,26211.93,1,26259.26,26247.62,61.76,63.49,0.24,4.43,-272.48,-0.52,0.06,0.46,171.28,-42.35
2024-09-27 10:24:00+05:30,26262.1,26268.6,26259.85,26263.95,26264.13,26229.3,1,26217.66,1,26260.23,26249.13,62.67,63.38,1.49,4.23,-112.02,1.61,0.37,0.58,147.34,-17.33
2024-09-27 10:27:00+05:30,26265.05,26268.95,26262.05,26264.95,26265.32,26232.0,1,26220.83,1,26261.25,26250.6,63.09,63.34,1.55,4.06,-39.47,0.45,0.39,0.56,67.02,-6.31
2024-09-27 10:30:00+05:30,26265.0,26277.35,26264.5,26266.65,26269.5,26236.92,1,26225.58,1,26262.9,26252.32,63.85,63.41,2.51,4.03,69.39,1.59,0.63,0.66,120.46,11.05
2024-09-27 10:33:00+05:30,26266.8,26273.0,26263.8,26271.9,26269.57,26236.92,1,26225.58,1,26264.23,26253.88,66.16,63.78,2.03,3.94,373.16,0.03,0.51,0.59,361.79,58.35
2024-09-27 10:36:00+05:30,26271.3,26275.35,26266.35,26268.35,26270.02,26238.12,1,26227.21,1,26265.39,26255.35,63.22,63.7,1.76,3.82,-75.35,0.17,0.44,0.56,-444.38,-12.54
2024-09-27 10:39:00+05:30,26268.1,26272.9,26260.3,26264.85,26266.02,26238.12,1,26227.21,1,26265.52,26256.32,60.37,63.26,0.19,3.5,-456.84,-1.52,0.05,0.37,-450.81,-69.07
2024-09-27 10:42:00+05:30,26264.3,26271.1,26264.1,26266.45,26267.22,26238.12,1,26227.21,1,26265.86,26257.31,61.23,62.99,0.52,3.26,-279.41,0.46,0.13,0.38,142.45,-42.68
2024-09-27 10:45:00+05:30,26266.75,26269.3,26260.3,26261.55,26263.72,26238.12,1,26227.21,1,26265.43,26257.89,57.14,62.21,-0.65,2.87,-814.98,-1.33,-0.16,0.22,-667.97,-123.83
2024-09-27 10:48:00+05:30,26262.6,26270.8,26260.7,26269.5,26267.0,26238.12,1,26227.21,1,26265.74,26258.72,61.62,62.13,0.48,2.67,-82.09,1.25,0.12,0.32,784.04,-12.86
2024-09-27 10:51:00+05:30,26268.85,26272.05,26266.0,26268.35,26268.8,26238.96,1,26228.94,1,26266.36,26259.64,60.63,61.93,0.93,2.56,-209.91,0.69,0.24,0.35,-160.66,-32.19
2024-09-27 10:54:00+05:30,26268.2,26272.95,26265.2,26270.45,26269.53,26239.69,1,26229.89,1,26266.99,26260.54,61.83,61.92,0.97,2.46,-14.53,0.28,0.24,0.34,197.92,-1.61
2024-09-27 10:57:00+05:30,26270.2,26271.6,26241.25,26257.45,26256.77,26239.69,1,26229.89,1,26264.95,26260.2,51.37,60.51,-3.11,1.81,-1510.49,-4.86,-0.78,-0.13,-1691.74,-227.71
2024-09-27 11:00:00+05:30,26258.0,26260.15,26248.45,26249.2,26252.6,26239.69,1,26229.89,1,26262.48,26259.5,46.04,58.58,-3.76,1.13,-2140.66,-1.59,-0.94,-0.27,-1037.57,-318.96
2024-09-27 11:03:00+05:30,26249.25,26253.35,26246.1,26247.35,26248.93,26239.69,1,26229.89,1,26259.77,26258.54,44.92,56.76,-4.13,0.47,-2085.98,-1.4,-1.03,-0.37,-243.27,-310.69
2024-09-27 11:06:00+05:30,26247.1,26249.35,26231.5,26236.95,26239.27,26276.5,-1,26229.89,1,26255.67,26256.79,39.13,54.41,-6.25,-0.43,-2808.31,-3.68,-1.56,-0.67,-1288.96,-414.02
2024-09-27 11:09:00+05:30,26237.45,26238.5,26214.0,26227.1,26226.53,26266.07,-1,26279.34,-1,26249.84,26254.04,34.59,51.77,-8.88,-1.6,-3318.52,-4.86,-2.22,-1.05,-1160.24,-485.2
2024-09-27 11:12:00+05:30,26226.65,26242.7,26225.4,26241.0,26236.37,26266.07,-1,26279.34,-1,26247.15,26252.43,44.4,50.78,-4.11,-2.01,-1256.4,3.75,-1.02,-0.61,2836.08,-191.23
2024-09-27 11:15:00+05:30,26241.45,26241.45,26216.2,26216.5,26224.72,26266.07,-1,26279.34,-1,26242.66,26249.91,34.56,48.62,-6.84,-2.76,-2891.81,-4.44,-1.71,-0.96,-2216.22,-425.36
2024-09-27 11:18:00+05:30,26217.5,26219.35,26207.9,26214.05,26213.77,26257.11,-1,26271.6,-1,26236.88,26246.63,33.75,46.64,-8.81,-3.71,-2763.72,-4.18,-2.2,-1.25,-234.38,-407.24
2024-09-27 11:21:00+05:30,26214.15,26221.2,26208.45,26218.6,26216.08,26257.11,-1,26271.6,-1,26232.72,26243.85,36.71,45.31,-6.34,-4.24,-1898.04,0.88,-1.59,-1.06,877.04,-285.16
2024-09-27 11:24:00+05:30,26218.25,26222.3,26216.95,26219.45,26219.57,26257.11,-1,26271.6,-1,26230.09,26241.64,37.27,44.24,-4.01,-4.4,-1575.5,1.33,-1.0,-0.84,152.55,-236.15
2024-09-27 11:27:00+05:30,26219.55,26234.3,26219.4,26233.7,26229.13,26257.11,-1,26271.6,-1,26229.9,26240.51,45.94,44.47,-0.29,-4.04,330.56,3.65,-0.07,-0.43,2326.27,51.99
2024-09-27 11:30:00+05:30,26233.05,26235.75,26218.1,26221.75,26225.2,26257.11,-1,26271.6,-1,26228.96,26239.11,40.84,43.98,-1.43,-3.87,-713.96,-1.5,-0.36,-0.53,-1110.14,-110.19
2024-09-27 11:33:00+05:30,26222.0,26225.6,26219.95,26224.45,26223.33,26257.11,-1,26271.6,-1,26227.83,26237.68,42.4,43.77,-1.72,-3.75,-313.0,-0.71,-0.43,-0.54,381.98,-47.75
2024-09-27 11:36:00+05:30,26224.6,26232.75,26215.9,26231.85,26226.83,26257.11,-1,26271.6,-1,26227.63,26236.69,46.54,44.14,-0.31,-3.45,543.72,1.33,-0.08,-0.38,976.42,84.53
2024-09-27 11:39:00+05:30,26232.1,26232.35,26224.65,26225.7,26227.57,26257.11,-1,26271.6,-1,26227.62,26235.86,43.73,44.09,-0.02,-3.14,-81.65,0.28,-0.0,-0.32,-603.78,-11.33
2024-09-27 11:42:00+05:30,26225.15,26227.65,26220.6,26222.25,26223.5,26257.11,-1,26271.6,-1,26226.8,26234.74,42.18,43.83,-1.26,-3.03,-376.45,-1.55,-0.31,-0.43,-354.45,-58.97
2024-09-27 11:45:00+05:30,26222.6,26229.0,26219.35,26228.55,26225.63,26257.11,-1,26271.6,-1,26226.56,26233.91,45.93,44.11,-0.35,-2.8,412.6,0.81,-0.09,-0.32,889.05,63.88
2024-09-27 11:48:00+05:30,26228.45,26230.6,26221.4,26222.15,26224.72,26257.11,-1,26271.6,-1,26226.19,26233.08,42.89,43.95,-0.56,-2.63,-241.18,-0.35,-0.14,-0.32,-661.88,-36.27
2024-09-27 11:51:00+05:30,26222.6,26225.5,26217.65,26218.35,26220.5,26255.76,-1,26267.15,-1,26225.06,26231.93,41.15,43.58,-1.74,-2.62,-557.6,-1.61,-0.43,-0.44,-405.69,-84.19
2024-09-27 11:54:00+05:30,26217.8,26223.8,26211.2,26214.45,26216.48,26252.05,-1,26263.56,-1,26223.34,26230.53,39.38,43.02,-2.62,-2.74,-846.12,-1.53,-0.66,-0.53,-430.13,-128.5
2024-09-27 11:57:00+05:30,26214.1,26218.65,26206.95,26213.4,26213.0,26247.4,-1,26258.94,-1,26221.27,26228.93,38.89,42.47,-3.15,-2.92,-842.95,-1.33,-0.79,-0.61,-124.43,-127.85
2024-09-27 12:00:00+05:30,26214.3,26228.9,26212.3,26226.25,26222.48,26247.4,-1,26258.94,-1,26221.51,26228.35,47.43,43.13,0.37,-2.61,996.99,3.62,0.09,-0.22,2195.94,155.4
2024-09-27 12:03:00+05:30,26226.8,26242.05,26222.5,26237.6,26234.05,26247.4,-1,26258.94,-1,26224.02,26228.87,53.59,44.52,3.82,-1.85,2037.29,4.41,0.96,0.2,1298.76,322.28
2024-09-27 12:06:00+05:30,26238.5,26243.6,26230.7,26232.1,26235.47,26247.4,-1,26258.94,-1,26226.31,26229.47,50.5,45.32,3.49,-1.2,1142.98,0.54,0.87,0.23,-576.6,179.69
2024-09-27 12:09:00+05:30,26231.65,26234.05,26226.4,26227.8,26229.42,26247.4,-1,26258.94,-1,26226.93,26229.46,48.16,45.7,0.95,-0.96,538.29,-2.31,0.24,-0.0,-463.37,83.85
2024-09-27 12:12:00+05:30,26228.05,26237.15,26227.5,26236.75,26233.8,26247.4,-1,26258.94,-1,26228.31,26229.86,53.04,46.68,2.09,-0.59,1362.47,1.67,0.53,0.15,1013.29,214.44
2024-09-27 12:15:00+05:30,26236.45,26242.1,26235.2,26238.8,26238.7,26247.4,-1,26258.94,-1,26230.38,26230.66,54.1,47.67,3.17,-0.11,1348.86,1.87,0.79,0.3,199.85,212.08
2024-09-27 12:18:00+05:30,26239.4,26247.8,26237.5,26238.65,26241.32,26247.4,-1,26258.94,-1,26232.57,26231.63,54.0,48.51,3.34,0.36,1131.73,1.0,0.83,0.37,-18.48,176.21
2024-09-27 12:21:00+05:30,26238.1,26242.9,26234.9,26236.15,26237.98,26247.4,-1,26258.94,-1,26233.65,26232.21,52.33,49.02,1.65,0.55,675.23,-1.27,0.41,0.22,-309.26,105.13
