datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI
2024-09-17 13:15:00+05:30,25424.8,25429.3,25412.6,25422.9,25421.6,25397.94,1,25376.82,1,25417.45,25406.1,59.39,58.4
2024-09-17 13:30:00+05:30,25423.5,25437.95,25420.1,25436.95,25431.67,25399.75,1,25380.23,1,25420.29,25408.43,63.87,59.13
2024-09-17 13:45:00+05:30,25435.95,25441.65,25424.35,25426.05,25430.68,25404.06,1,25384.76,1,25422.37,25410.45,58.48,59.04
2024-09-17 14:00:00+05:30,25425.7,25434.15,25422.0,25426.2,25427.45,25404.06,1,25384.76,1,25423.38,25412.0,58.53,58.97
2024-09-17 14:15:00+05:30,25425.3,25438.35,25423.6,25428.7,25430.22,25404.06,1,25385.48,1,25424.75,25413.65,59.44,59.03
2024-09-17 14:30:00+05:30,25428.35,25433.85,25410.9,25422.6,25422.45,25404.06,1,25385.48,1,25424.29,25414.45,56.21,58.66
2024-09-17 14:45:00+05:30,25422.75,25429.7,25408.45,25417.05,25418.4,25404.06,1,25385.48,1,25423.11,25414.81,53.36,57.95
2024-09-17 15:00:00+05:30,25417.25,25429.2,25410.8,25418.45,25419.48,25404.06,1,25385.48,1,25422.39,25415.24,53.99,57.42
2024-09-17 15:15:00+05:30,25418.8,25421.55,25404.8,25407.15,25411.17,25404.06,1,25385.48,1,25420.14,25414.87,48.3,56.21
2024-09-18 09:15:00+05:30,25402.4,25418.15,25380.8,25404.0,25400.98,25430.28,-1,25385.48,1,25416.31,25413.6,46.82,54.96
2024-09-18 09:30:00+05:30,25404.7,25434.05,25394.0,25433.7,25420.58,25380.3,1,25385.48,1,25417.16,25414.24,59.45,55.55
2024-09-18 09:45:00+05:30,25434.4,25443.1,25419.9,25431.75,25431.58,25397.66,1,25385.48,1,25420.05,25415.81,58.47,55.94
2024-09-18 10:00:00+05:30,25430.85,25436.45,25408.7,25413.9,25419.68,25397.66,1,25385.48,1,25419.97,25416.17,50.28,55.19
2024-09-18 10:15:00+05:30,25413.8,25426.65,25408.1,25424.2,25419.65,25397.66,1,25385.48,1,25419.91,25416.48,54.26,55.06
2024-09-18 10:30:00+05:30,25424.0,25469.65,25417.15,25466.5,25451.1,25404.98,1,25385.48,1,25426.15,25419.63,66.22,56.55
2024-09-18 10:45:00+05:30,25467.45,25478.6,25449.1,25463.55,25463.75,25424.85,1,25398.85,1,25433.67,25423.64,64.95,57.67
2024-09-18 11:00:00+05:30,25464.2,25465.1,25447.95,25461.25,25458.1,25424.85,1,25398.85,1,25438.55,25426.77,63.91,58.5
2024-09-18 11:15:00+05:30,25460.35,25468.45,25447.35,25457.1,25457.63,25424.85,1,25398.85,1,25442.37,25429.58,62.0,58.97
2024-09-18 11:30:00+05:30,25457.7,25470.95,25457.4,25462.1,25463.48,25428.73,1,25405.11,1,25446.59,25432.66,63.42,59.56
2024-09-18 11:45:00+05:30,25460.05,25472.5,25454.8,25463.0,25463.43,25429.1,1,25406.06,1,25449.96,25435.46,63.68,60.11
2024-09-18 12:00:00+05:30,25463.5,25469.85,25452.7,25462.7,25461.75,25429.1,1,25406.06,1,25452.32,25437.85,63.52,60.57
2024-09-18 12:15:00+05:30,25461.55,25481.6,25459.45,25474.35,25471.8,25436.9,1,25414.48,1,25456.21,25440.93,67.07,61.43
2024-09-18 12:30:00+05:30,25475.0,25481.8,25468.7,25476.3,25475.6,25443.02,1,25421.54,1,25460.09,25444.09,67.64,62.26
2024-09-18 12:45:00+05:30,25475.6,25482.2,25427.05,25427.05,25445.43,25491.9,-1,25421.54,1,25457.16,25444.21,46.03,60.1
2024-09-18 13:00:00+05:30,25428.35,25438.0,25372.5,25374.4,25394.97,25448.62,-1,25477.54,-1,25444.72,25439.73,33.65,56.57
2024-09-18 13:15:00+05:30,25374.15,25384.8,25360.25,25362.0,25369.02,25415.24,-1,25443.72,-1,25429.58,25433.3,31.5,53.23
2024-09-18 13:30:00+05:30,25362.35,25365.0,25285.55,25331.4,25327.32,25375.64,-1,25409.22,-1,25409.13,25423.67,26.93,49.72
2024-09-18 13:45:00+05:30,25331.6,25385.25,25321.9,25361.75,25356.3,25375.64,-1,25409.22,-1,25398.56,25417.54,36.74,47.99
2024-09-18 14:00:00+05:30,25362.05,25362.95,25327.7,25343.05,25344.57,25375.64,-1,25409.22,-1,25387.76,25410.91,33.73,46.09
2024-09-18 14:15:00+05:30,25343.3,25372.2,25329.0,25343.15,25348.12,25375.64,-1,25409.22,-1,25379.84,25405.2,33.76,44.45
2024-09-18 14:30:00+05:30,25342.95,25361.25,25330.75,25336.4,25342.8,25375.64,-1,25409.22,-1,25372.43,25399.53,32.65,42.87
2024-09-18 14:45:00+05:30,25335.25,25370.55,25335.25,25366.25,25357.35,25375.64,-1,25409.22,-1,25369.41,25395.69,41.81,42.73
2024-09-18 15:00:00+05:30,25364.7,25409.1,25364.05,25382.35,25385.17,25330.78,1,25409.22,-1,25372.56,25394.74,46.08,43.18
2024-09-18 15:15:00+05:30,25381.75,25392.7,25342.35,25343.45,25359.5,25330.78,1,25409.22,-1,25369.95,25391.53,38.7,42.58
2024-09-19 09:15:00+05:30,25487.05,25587.1,25481.7,25565.75,25544.85,25445.86,1,25386.83,1,25404.93,25405.47,69.12,46.12
2024-09-19 09:30:00+05:30,25564.55,25605.8,25553.95,25604.95,25588.23,25492.41,1,25434.1,1,25441.59,25422.09,71.78,49.54
2024-09-19 09:45:00+05:30,25604.8,25611.95,25524.5,25525.3,25553.92,25492.41,1,25434.1,1,25464.06,25434.07,60.4,50.99
2024-09-19 10:00:00+05:30,25526.25,25552.25,25499.6,25513.05,25521.63,25492.41,1,25434.1,1,25475.57,25442.03,58.85,52.04
2024-09-19 10:15:00+05:30,25513.0,25530.05,25503.8,25512.55,25515.47,25492.41,1,25434.1,1,25483.55,25448.71,58.79,52.94
2024-09-19 10:30:00+05:30,25512.5,25529.7,25487.65,25497.75,25505.03,25492.41,1,25434.1,1,25487.85,25453.83,56.75,53.45
2024-09-19 10:45:00+05:30,25498.1,25530.2,25477.55,25511.85,25506.53,25492.41,1,25434.1,1,25491.58,25458.62,58.24,54.08
2024-09-19 11:00:00+05:30,25512.1,25520.4,25498.9,25505.8,25508.37,25492.41,1,25434.1,1,25494.94,25463.14,57.33,54.52
2024-09-19 11:15:00+05:30,25506.0,25509.95,25435.05,25440.05,25461.68,25553.68,-1,25434.1,1,25488.29,25463.01,48.48,53.71
2024-09-19 11:30:00+05:30,25439.45,25458.45,25402.1,25423.7,25428.08,25511.79,-1,25566.14,-1,25476.25,25459.83,46.56,52.76
2024-09-19 11:45:00+05:30,25423.65,25445.65,25390.55,25392.85,25409.68,25499.73,-1,25554.15,-1,25462.93,25455.27,43.09,51.47
2024-09-19 12:00:00+05:30,25392.3,25464.95,25390.2,25442.6,25432.58,25499.73,-1,25554.15,-1,25456.86,25453.21,49.61,51.22
2024-09-19 12:15:00+05:30,25442.2,25460.55,25429.6,25432.2,25440.78,25499.73,-1,25554.15,-1,25453.65,25452.08,48.37,50.84
2024-09-19 12:30:00+05:30,25431.8,25467.5,25431.8,25458.25,25452.52,25499.73,-1,25554.15,-1,25453.42,25452.12,51.65,50.95
2024-09-19 12:45:00+05:30,25458.4,25467.65,25419.0,25423.05,25436.57,25499.73,-1,25554.15,-1,25450.05,25450.71,47.27,50.46
